ngoId,hasRegistration,hasFinance,logo,yearEstablished,missionStatement,vision,objectives,legalStatus,areasOfOperation,activeStatus
cef20119-73c3-39bf-8026-820b448de57b,,,,,,"Vision: PARAYAS envisages a society free from the perils of religion, caste, creed or class, where people live in peaceful coexistence with nature, utilizing nature’s resources to meet only their needs; and where people are healthy, educated and prosperous in physical, mental and materials terms.To strive towards providing opportunities for social and economic advancement of the poor and underprivileged sections of the society. The organisation shall always strive for the empowerment of women and development of children as guiding forces to build a stronger and self-sufficient society.","PARAYAS is a non profit organisation that strives to wipe tear and bring a smile on the faces of the marginalised and underprivileged weaker sections of the society. PARAYAS strongly believes that the change of a man’s fate lies in his own hands and that the key for a developed and self sustained society is in the hands of the people themselves. PARAYAS is a catalyst to that development process, channelising their strengths and resources to build a better future for the children of the present and future",,,
cb0c680c-3a36-36fa-abee-59344a7fa95d,,,,,,"MissionTo facilitate the process of Empowerment of the most disadvantaged groups in KBK Region of Odisha through participatory efforts.VisionWe see an undivided Koraput where vulnerable people realize their aspirations for better life in a better community ,aspires for a new world order ,which is just participatory ,where people live with dignity and free from hunger,discrimination and violence of any kind.","Mission To facilitate the process of Empowerment of the most disadvantaged groups in KBK Region of Odisha through participatory efforts. Vision We see an undivided Koraput where vulnerable people realize their aspirations for better life in a better community ,aspires for a new world order ,which is just participatory ,where people live with dignity and free from hunger,discrimination and violence of any kind.",,,
c490c115-a437-3a49-b144-6e35107d5cf7,,,,,,"To build a true human community, based on the universal human values of justice, equality, freedom, plurality, harmony. To encourage social participation and self-governing system.DSP is a social organization engaged in community formation with the rural and urban poor, Dalit, Adivasi, tribal, ethnic and religious minorities, and disadvantaged communities.To encourage capacity building of the classified vulnerable groups.","DALIT SOLIDARITY PEOPLES, is registered NGO from South West Delhi, New Delhi. Its evolution:",,,
958afb2e-7cee-3eac-a40d-cdc11b39b02d,,,,,,To strive hard in order to  achieve better health conditions for people stigmatized with HIV.Promote better health conditions and working towards achieving community development,"GUNJAN Organisation for Community Development – established in the year 2003 and is actively providing community services in domain of Public Health i.e. HIV/AIDS Prevention, Care, Support & Treatment, Drug and Alcohol Prevention, Treatment and Rehabilitation of people addicted to drugs; aging and services to senior citizens, Empowering Women; and Education of Women and Children. The organisation is designated as Regional Resource and Training Centre North Zone – II by Ministry of Social Justice and Empowerment, Government of India under the Scheme of Prevention of Alcoholism and Substance(Drugs) Abuse for the states of Himachal Pradesh, Chandigarh , Jammu and Kashmir.",,,
c92e97fe-041a-3c7e-9347-91b0fb438364,,,,,,CFH’s vision is…..To help build a just society by involving the communities.CFH’s mission is…..To help and enable the poorest of the poor build better lives for themselves and for their children.,"Concern for Humanity (CFH) came into being as a registered Non Government Organization in January 2000 – 2001. CFH has now competed eight years of its life as a national level Non Governmental Voluntary Development Organization. Based at New Delhi, CFH has been formed by a group of professionals who came from different fields of specialization and are committed to the welfare of the disadvantaged people. CFH dedicated itself to help and enable the poorest of the poor build better lives for themselves and for their children. The working policy of CFH is …… “To help people to help themselves.” CFH’s Ideologies are…….. Empowerment leads to Sustainable Development: We strongly believe that knowledge is power. Only people’s empowerment leads to sustainable development. CFH concentrates on building capacity of CBOs, NGOs, and People’s Group towards their own betterment. Participation leads to Sustainable Development: Participation enables people to take greater control over their lives, over the problems which concern them and the solutions, which change them. Consequently CFH promotes a participatory approach in its functioning at all the levels including planning, implementation, monitoring, evaluation, and future planning. Need-based Actions lead to Sustainable Development: CFH from its own experience has realized that different communities and even different groups with in a community have their own special needs. These needs arise out of the individual social conditions and specific problems. Hence, to ensure sustainable development of the community, we plan all our development actions to address the needs of the people we are working with. This we enable through community groups, organization and community participation.",,,
427bbaec-3117-3299-897b-dc3d3e4c1e41,,,,,,To work for the emancipation of children of  marginalised section.,Anandam as an organization is founded on grounds of helping children who are not able to get basic amenities just to survive long enough till adoslecent age.,,,
fb95c4bb-68e7-3d20-b679-c78af8064bc4,,,,,,"Modern India is growing and developing at an astounding rate. As technology advances to match that of an international standard, so too science and medicine are progressing in leaps and bounds to try to tackle the endless list of challenges and ailments of a modern world. However hand in hand with such advances comes a phenomenal growth in population (India, being the fastest growing country in the world, is predicted to overtake china by population before the middle of this century) and the difficulties and strains that come from overcrowding. As more and more generations of people move to the cities to seek work and a better life so government attention is focused on maintaining these heaving metropolises. Even though there is a migration towards urban living, Tamil Nadu still holds over half its population in rural areas (51.55% rural to 48.45% urban, source: 2011 Census of India). Although less polluted than urban, rural life gives less access to the basic needs such as health care and education often purely down to the distances needed to travel and transport issues, a common theme in such isolated areas is to find children working hard just to help feed their families and education will become secondary. Thus life becomes about surviving rather than thriving.","JRDT has risen from its roots, helping communities in emergency and crisis situations towards getting themselves back to normal life, to its current status of working with rural communities to help raise their standard of living financially, hygienically, socially and educationally on a day to day basis towards a more self-sustained and prosperous future. JRDT is a non-profit, Non-Governmental Organization (NGO) that seeks funding and support from both charitable (National and International) and Governmental sources. JRDT work in collaboration with other organizations, trusts and corporations, and are open to and have a history of working with all social and religious groups of society. JRDT is made up of a network of workers from the core founders and those involved in day to day operations within the immediate community to volunteers, philanthropic supporters and of course well needed sponsors and charitable funds raisers.",,,
7a65f1ed-7d48-3e0f-96a1-54a20a3a974f,,,,,,Imparting skill training to the disadvantaged section of the  society.Engaging an all-round  community development,A Noble Society of Helping Hands is pledged for developing community and empowering its people through well designed alternative livelihood opportunties,,,
51640508-8fc1-34ba-bfa2-1d2be18d0e75,,,,,,"Bhartiya Samaj Sevak Sanstha is to  empower underprivileged children, youth and women through relevant education, innovative healthcare and programmes. Bhartiya Samaj Sevak Sanstha is to deploy best possible methodology and technology for achieving ideal SROI (social return on investment), to practice and promote good governance. To link business competitiveness of the corporate with social development initiatives; also to sensitize privileged children, youth and citizens in general to promote Civic Driven Change.",,,,
1df80055-87fc-33ed-815b-970a49f17d8a,,,,,,Welfare of the Society,"""KALYAN SAMITI NEW MODERN SHAHDARA DELHI "" is a RWA and Social organisation.  The Nick Name is "" Kalyan Samiti "" .which was formated during in 2003 with the  main objects of  welfare and development of the residents . highlighting  the  common problems of the people like   Electricity , Water , Roads , health , schools , Sewerage , Street lights etc. with the elected representative  and  government agencies. Mr. M.K.Tyagi is the President  Who has a good relation with the residents . General Secretary of “ Kalyan Samiti”  belongs to rural and farmer back grounds . Mr. Satish Mittal is  qualified  Commerce Graduate and Post Graduate along with Bechlor of Law and  Co, Secretary (Inter).He has a rich experience in wroting , accounts , finance  taxation,field ... We believes in writing in Hindi  language which is the soul of India. The Blogs of our Gen Secretary is on Social media  like  NBT, Amar Ujala Blog, Jagran Junction , Shabdnagri , Blogger.com etc which  clears  shows the picture of Kalyan Samiti . .The Blog – “APNI BAAT” on  NBT on line has been hits more than 1,50,000.Address is- http://mittal-health.blogspot.com , nbt.in/ApniBaat At the time of  formation  all the founder  members of  “Kalyan Samiti”  decided that it will not take any fee, subscription, fund , financial aid or any donation to work free and fair with out any influnce..We are glad  to write here that we did not collect any type  of money from  any one .All active the  members  has done  all expenses . We believe in work not in publicity We believe  in Live and Let Live .We have many plans in our Kalyan Samiti which can not be completed with out money. Satish Mittal",,,
05197857-1a26-3891-9240-dbf22048ba63,,,,,,"MISSIONaaina recognizes the human rights of persons with disability and elderly persons and commits to their realization through appropriate participatory program interventions leading to an inclusive society. It further strives to establish a center of excellence on research, training and documentation.aaina recognizes the rights of children and commits to facilitate their realization through appropriate participatory program interventions, leading to a non-discriminatory society.aaina commits to promote gender equality and justice and empowerment of women in all spheres of life by facilitating appropriate mechanisms to ensure their rights, identity, dignity and independence.aaina believes in being a dynamic, scientific, learning organization by appropriately informed through research and development and networking to actively influence policy through strategic advocacy mechanism that incorporates people centered advocacy. aaina commits to respond to the disaster situations upholding the perspective of human rights.",,,,
0aad7489-da0d-37bb-9b08-8d344019fd80,,,,,,"1) To conduct skill training in tailoring, handicrafts, mehendi and beautician practice, etc. for rural women and adolescent girls who are out of school; 2) To train women to market their products and services well; 3) To help women in operating bank acco","Aarambh Trust was founded in 1996 with the mission to catalyse social and economic change in marginalized communities, with a focus on the rights of underprivileged children and empowerment of women. It was created as a Community Service Centre for providing educational, health and vocational skills to the families living in the slum communities of Navi Mumbai. We currently operate 6 urban and 5 rural centres in Maharashtra, serving approximately 2,000 beneficiaries. In our Vikas project, we aim at setting up a new community centre in the urban slum of Rabale in Navi Mumbai, for families of the migrant workers. The focus will be on educating and building awareness among urban communities about issues relating to the rights and responsibilities concerning their children, themselves and the society they live in. The children that will be supported by our program belong to underprivileged migrant backgrounds, and are typically on the verge of dropping out from their schools. We will provide them with support classes in subjects like Math, English, Science and Computers and cultural activities. They will also receive daily mid-day meals and regular check-ups in Health camps. We plan to conduct awareness programmes to eliminate child labour. Most of the women of these communities are uneducated and unskilled. They are unable to get decently paid jobs/work and are often exploited by their families and the neighbourhood. They are forced into the flesh trade when their husbands abandon them. Parents do not welcome the birth of daughters. Our project will empower girls through education and personality development courses, along with sensitizing the community about gender equality, respect for girls and other such values.",,,
dd1ce4e0-0e4d-3aab-a363-c0790fc5b170,,,,,,"Mission“Equal and Integrated community development Through Mind, Education, Employment and Economics”Vision""Including the excluded and giving the best to the least""","Atma Vani is an organization upholding Humanitarian values and Work for the transformation of lives in India without discrimination in caste, creed or race, to uplift and educate the poor and to train them in an occupation which would give them a measure of independence and self-esteem. Atma Vani is working for upliftment for poor and needy people for bringing them to main stream society by providing Health, Education, training and basic needs especially for the development of children & women.",,,
55de6781-47a9-3107-95ae-8eac055f7381,,,,,,"PROTECTIVE ENVIRONMENT: Supporting and empowering children, families, communities and government authorities to recognize the risks for violence, abuse, exploitation, neglect and exclusion from services that children face and to know how to prevent them.","Aangan is a child protection organization that promotes safe communities for children with a focus on children in dangerous or difficult situations and environments.These are children imperiled by their exposure or vulnerability to isolation, neglect, violence, hazardous or exploitative work, early marriage, juvenile offending, trafficking and abuse. We enable safe communities where children, adults and governments work together to prevent and respond to the harm that these children face. Aangan works to strengthen or build child protection mechanisms that both prevent as well as respond to children exploitation and threats to their security and wellbeing. Our prevention work is located in urban bastis or slums where impoverished children and families are supported and empowered to create a safe environment for children. Our work is centered around children who are normally invisible, such as children hidden away in childcare institutions; working adolescents who do not have the benefit of protection under inadequate labour laws; out of school children who are isolated in their homes or at work in the informal sector, children engaging in illegal and risky activities. We believe that if children, adults and state authorities engage with one another to identify, build and strengthen mechanisms that ensure children protection, then communities will be safe for all children. We work with the state to implement effective legislation and create a protective environment in which young people are not only physically and emotionally safe, but are also able to secure justice and essential services.",,,
e45b4242-bf64-3ea4-ad5f-4e9aa26808e2,,,,,,"Vision:Empowered children through exercise of Rights- education, health, nutrition and dignified livelihood”.Mission:Provide comprehensive Education, health care, skill training, empowerment support for holistic development of less-privileged children to become responsible adults and leaders of tomorrow.","Aarohan is a non-governmental organization registered in 2005 under the Society Registration Act, 1860 of India. The Head Office is located in Malviya Nagar, South Delhi- which serves as epicenter of its programs and activities. AAROHAN is mainly working in the area of education for underprivileged children of the society, women and other community members living in difficult circumstances- children of -daily wage migrant labors, suffering from terminal diseases; from rural/tribal areas and also transgender community. It focuses on Education,Nutrition, Health, Vocational training For women and youth. Co-curricular activities, advocacy and awareness building - child education, retention of child in school and skill training (supporting them to the logical end), girl child and gender issues being the core of its programmatic actions. Career counseling for holistic development and facilitating gainful employment is integral part of our programmes. The organization’s approach is different in the sense it takes upon it the parental responsibilities. It strives to provide  support to their needs to complete their education till children become self reliant. Mothers’ literacy and empowerment (social, economic and financial) is critical to educating a child - is accorded importance among organization’s initiatives. Community sensitization and soliciting its cooperation is integral part of the program interventions",,,
49532f8f-88d7-3ab6-92be-13b8aee9068e,,,,,,"MissionTherefore the main object of all the Trustees of 'Abhinav Samaj' is to establish an Old-Age Home – specially a 'shelter' for the welfare of such destitute and distressed parents deported by their children from their own houses irrespective of caste, creed, race, language, sex or place of birth. This is the objective of Trusees of 'Abhinav Samaj' they could feel that they are not alone and they could feel themselves as a part of such society. They could feel themselves in home away from home.VisionOur vision is there should not be any parents be de-sheltered by their own children for whose welfare they have ruined their own life.","We are a non-profit Charitable-Trust registered with Govt. of NCT of Delhi vide Regn. No.3466, Dated 07.04.2010 by inspiration of Late Dr.Makhan Lal Gupta, prominent Freedom-fighter from Jind(Haryana). This Charitable-Trust formed by his son Sh.Gopal Krishan Gupta-Delhi Govt. Officer and a social-worker, Sh.Ashok Kumar Arora-established businessman and social-worker (now deceased), Sh.Gagan Arora Businessman and social-worker from Delhi, Sh.Brahm Prakash Yadav-social worker from Delhi, Sh.Madan Lal Gupta-Publisher, established businessman and social-worker from Delhi, Sh.Joginder Singh social-worker from Delhi, Sh.Jatin Kumar-social-worker from Delhi, Sh.Jai Prakash Singh social-worker from Haryana and Sh.T.P.Kalla businessman and social-worker from Rajasthan for the service of humanity. The Trust has since adopted its Constitution and Trust-Deed with Rules & Regulations for the efficient and smooth functioning and it is a non-profit charitable public Trust not revocable at the instance of the Settler of the Trust at any time and under any circumstances. It stands registered with Sub-Registrar-II, Govt. of NCT of Delhi, Janakpuri, New Delhi under Regn. No.3466/2010 and is a registered Trust as per the definition of Trust Act. Our performance for the past more than three decades bears testimony to the very fact that we are fully committed to our commitment and sincerety. Trust and its founder and other trustees has never compromised with its democratic, non-political and non-governmental structure and has kept the candle of social-service burning so that other could also light more candles and enlighten lives of suffering people. All the Trustees in 'Abhinav Samaj' are well-settled and established and respectable peoples in their society. The Trust is entitled to get and receive the donations from Indian donors and the donations given to the Trust by the donors are exempted from Income-Tax under Section 80-G and Section 12AA of Income Tax Act. Since inception of Trust our donors, sympathizers and well-wishers have been tendering their full support and cooperation to the Trust.",,,
c27fae25-8ff7-3479-9546-d9f81d329bd6,,,,,,"VISIONDevelop Society Based on Equality, Equity and Justice MISSION-	Generate the opportunities for growth & development-	Enable socially and economic backward community to claim their rights.","Abhivyakti Foundation’ formed with its commitment to bring a change in society with special focus on self reliance, social equity and justice in year 2001. The organization is established by a group of young and experienced development workers. The core values of the organization are Change, Self Reliance, And Human Dignity & Participatory Development. The major focus of organization is on improving the social and economic conditions of women and children with special focus on girl child who belong to rural and urban areas.",,,
3b9f8372-8dcd-30ed-9427-231ce000f337,,,,,,"MissionTo protect the rights of the vulnerable senior citizens and the children & persons with disabilities for overall welfare & betterment. Capacity building on Education, Vocational, Sports and Employment. To arrange Training for teachers & Unemployed youth on the methods & procedure as to how to provide quality teaching & Care Giving to the Special need Children for quality survival.VisionOur vision is to stand by the people in distress, specially the vulnerable senior citizens and the children & persons with disabilities. We uphold the way in our onward eyes the ideal & philosophy of Swami Vivekananda for the betterment of mankind","We started our voyage in the year 1988. Since inception, we have been working in education & Training, Education of children with special needs, Geriatric care vocational training for youth with disabilities, Environmental care, empowerment of Women, Senior Citizens and persons with disabilities Empowerment of Women, Senior citizens and persons with disabilities, so that they can usher in a sustainable development in the society, remained our vision from the beginning.",,,
379861bd-8be7-3729-8fc4-4efc61eca31e,,,,,,MissionAashwasan foundation is here to bring about overall systemic change in the society by contributing to the following areas:1. Health and Wellbeing2. Education3. Social Issues4. Research5. Environmental Health6. Awareness Programs7. Empowerment of the Underprivileged & Differently AbledVisionTo Lead Individuals to Explore Their Infinite Self,"Aashwasan Foundation is a Registered Charitable Trust that offers Aashwasan ScienceTM as path breaking diagnostic and treatment services to address physiological, psychological, psychosomatic and spiritual issues to bring about complete well-being in an individual. Aashwasan ScienceTM is not only able to identify root cause analysis of the issues and problems. but it is able to bring about a transformatory solution. It is also able help individuals explore, experience and express their maximum potential to live a beautiful life. Aashwasan ScienceTM has achieved unprecedented breakthroughs in Developmental Disorders (Autism, Cerebral Palsy, Mental Retardation, ADD, ADHD etc.), Degenerative Conditions (Muscular Dystrophy, Motor Neuron Disease etc. ), Psychological and Emotional Concerns (Depression, Anxiety, Anger, Restlessness etc.), Psychiatric Conditions (Personality Disorders, Mood Disorders, Schizophrenia, PTSD, OCD, Phobias etc.), Lifestyle Stress Concerns (RSI, Burnouts, Insomnia etc.), Organ and Systemic Dysfunctionality Related Issues (Kidney Failure, Heart Conditions, Migraines, Asthma etc.), Genetic Issues (Down's Syndrome, Angelman Syndrome etc.), Neurological Conditions (Epilepsy, Neuropathy, Brain Damage due to accident/stroke etc.), Addictions (Drugs, Alcohol, Shopping, Food, Nicotine etc.), Undiagnosed Issues , Untreatable Issues, Cancer (All types), Coma, Auto Immune Diseases (Multiple Sclerosis, Rheumatoid Arthritis, etc.), Infertility, Infectious Conditions, Obesity, Allergies (Food Allergies and Intolerance, Substances etc.), Congenital Issues and Concerns , Sensory Dysfunctions , Non Communicable Conditions (Cardio Vascular Conditions, Diabetes, COPD, etc.), Grief , Sexuality Dysfunction, Psychosomatic Concerns (Weakness, Undefined Pain/aches, Fatigue etc. ), Spiritual Crisis, Past Life Trauma, Chronic Conditions (Arthritis, Low Immunity etc.) and Abuse Related Conditions and Violence Related Trauma. Aashwasan has transformed thousands of lives bringing hope, love and happiness to all the lives it has touched. Aashwasan ScienceTM is a revolution that is here to make this world a home of love and hope. Please come and join hands to support Aashwasan Foundation, in making this dream, a reality. Let us Transform the world - Together!",,,
20a8b448-3f54-337e-8af6-a3c59ae9c5a7,,,,,,To create awareness about  disability To firmly promote the idea and notion that differently abled persons are useful Human Resource to the Nation,"AUF is a registered civil society, non-profit making social service organization for the benefit of differently abled people irrespective of race, religion, caste, colour and creed. AUF strives to break this vicious circle through a holistic and dynamic programme aimed at recognizing, nurturing, and enabling the hidden potential and talents within the differently abled youngsters. It is committed to changing the apathy, negativity and fear that surrounds the education, employment and arts through the specially designed therapeutic education, vocational training and professional dance-theatre performances with innovative methodology as it firmly believes in the fact that “seeing is believing. It gives the message of equality, dignity, equal opportunities and full participation and protection of their rights so that they can be on the same platform as the non-disabled. AUF recognizes that persons with disabilities are valuable human resource for the country. AUF creates awareness among the masses about the abilities of differently abled and make people sensitive towards their needs. AUF created Gunnies World Record and Limca World Record for outstanding performances which are first of its kind in the world.",,,
7c0533d7-ef12-34ac-99eb-5b8cce638f35,,,,,,To aid the victims of acid attacks,The Organisation focuses on aiding the victims of acid attacks and providing them medical & psychological aid,,,
b3f48d6e-ffca-3efe-b76f-5893c7543f8e,,,,,,To work on the livelihoods and poverty alleviation.To work for the upliftment  of marginalised section of the society.,Accord Asia is an Organisation that focuses on rural development & works on alternative livelihoods with the marginalised section .,,,
ae94ef85-dc1c-324a-b93c-48388c5818a4,,,,,,To execute effective implementation of  disaster  management methods.To give importance to gender-mainstreaming through various skill development projects.Following an inclusive community development approach.,"Awhan is working in Nuapada district since last 4 years in the field of disaster Management,Women Empowerment and SHG.Till date aawhan has formed 12 SHG,10 Farmers club and working with them.Apart from this aawhan is giving importance to awarness generating programs for acheiving community development.",,,
8016973d-60a0-3347-9ddf-438d403cdb0a,,,,,,"MissionTo establish a healthy society of worthy individuals free from discrimination or exploitation by bringing awareness in the field of education, health and raising the economic condition of poor and helpless men, women and children.VisionEstablish a Self-sustained society in which everyone would enjoy equal opportunity, with equitable sharing of resources ensuring social justice for all and everybody leading a harmonious life","Socially, economically and politically marginalized people with special focuses on Women, dalit, schedule tribe, minorities and depressed backward classes. Young People, children (emphasis on out of school, child labor, disable children/ people and victim of any type of sexual abuse) distressed women and old age. Small and marginalized farmers, agriculture laborers, bonded labor, tenant and migrant population.",,,
40fa75c7-e5b2-34c1-8162-6b446780f77a,,,,,,To promote women empowerment. To promote education,Major Activities Women development and empowrment through SHGs movement-200 families has running their small buisness.Rehabitates the dropout students is one of our dream project through this project we have been brought 260 students to the main stream of education,,,
aab85a35-040a-344e-9d5b-82f3b1f45662,,,,,,Objectives/ GoalsPRE-SCHOOL EDUCATION HEALTH EDUCATIONENVIRONMENT,Action for Welfare & Awakening in Rural Development is an organisation based for strengthening rural development in Andra Pradesh.,,,
a3c05ea0-5d0e-3bfd-8d3b-be31f1d9544d,,,,,,"VisionTo act as a platform for the civil society for promotion of sustainable and equitable development.MissionTo build the capacity of Civil Society Organizations through Networking, Research & Advocacy, Implementation Support and Consultancy Efforts to expedite the effectiveness of development of the rural poorObjectivesAdvancement of Education: Promotion and provision of appropriate, fundamental and advanced education, training and counselling, by adopting suitable means and measures.Relief of the poor: Provide a forum for consultation with interested stakeholders for sustainable agricultural and community development efforts aimed at upliftment of the downtrodden & weaker sections, by improvement of means of their livelihoods.Medical relief: Creating awareness in the areas of water qualities, hygiene, sanitation, disposal of garbage, clean environment and proper management of animal husbandry for ensuring healthier life for society at large.","Action for Agricultural Renewal in Maharashtra (AFARM) is an association of Non government organizations (NGOs) working in the field of Agriculture & Rural Development in the Maharashtra State. AFARM was born out of an acute need for a Apex Institution to co-ordinate efforts of NGOs & Civil Society Organizations (CSOs) in their tasks of providing water and agricultural extension services to rural population in drought affected Maharashtra. It is one of the first organizations to operate as an association of NGOs, in the country. Presently 69 are the General body members (NGOs) whereas the Associate members (NGOs) are 125. The substantial numbers of AFARM member organizations are actively engaged in the field of Community based Watershed Development & Management, Agriculture Development, Irrigation Development & Management, Organic Agriculture, SHGs & Women Empowerment, Micro-Finance & Rural Entrepreneurship development & Livilihood Promotion of small & marginal farmers.",,,
