ngoId,hasRegistration,hasFinance,logo,yearEstablished,missionStatement,vision,objectives,legalStatus,areasOfOperation,activeStatus
672a787c-face-36bb-a863-c29bc1789062,,,,,"KVN Foundation is supplying free oxygen concentrators to the needy so that they can get critical life support till they find a hospital bed, get access to doctors, or recover completely. These will be provided for 5 to 10 days’ duration as needed, will then be taken back, sanitized, reused on next patient with fresh set of consumables.",,,,,
cda4e08f-e2bd-367d-9f91-b1a1c2b3050a,,,,,Milaap is one of India's most used crowdfunding platform. Multiple non-profits are raising funds on this platform for various relief causes related to COVID 19.,,,,,
63bb4572-9416-394c-bd94-698f2db5ee43,,,,,"Uttishtha Foundation is working on the following initiatives: 1) Family Survival Kits which include basic ration . Along with Corona protective gear like masks, bathing and washing soaps, for disadvantaged elders and their family of 5. 2) Protective Hygiene Kits for our elders, to fight COVID-19 which include Sanitizers, Mask, Tissues, Hand wash etc. 3) Free Meals to the homeless in night shelters, on roads, elders in old age homes, slums and migrant daily wage labors who have nowhere and no one to turn to.  
			We were able to help more than 60 families across the nation.   Currently, they are looking for donations to procure Oxygen Concentrators and install them at rural clinics that are in dire need of Oxygen and other basic healthcare amenities.",,,,,
18446a5b-7146-3ffe-97c8-3bc6344716a7,,,,,"Goonj aims to build an equitable relationship of strength, sustenance and dignity between the cities and villages using the under-utilized urban material as a tool to trigger development with dignity, across the country.",,,,,
217af9df-b6f7-3696-b7cf-5c941e4b548a,,,,,"PINT - Plasma In Need for Transfusion , a non-profit organization and online platform helping COVID-19 patients in need of convalescent plasma find and match with donors, quicker and more efficiently.",,,,,
8a55c203-420b-3e3a-a27b-db006a7d6073,,,,,"The Uday Foundation is a non-profit organization based in New Delhi, India.  disaster relief. It is starting a campaign #StayWell to make and distribute at least 10,000 Wellness Kits – comprising some basic over the counter medicines, a tetra-pack of healthy drink such as ORS, oximeter, etc.",,,,,
196ddffd-d8c3-34e7-b835-9951baa9b104,,,,,"Plan India has reached out to 200,000+ families with dry ration and hygiene kits, meeting the urgent needs of 1 million+ people on the ground in 12 states. To ensure learning does not stop for girls’ during the pandemic, Plan India is distributing 35000+ education kits. Each kit contains textbooks and reference books as per the girls’ grade, notebooks, pen and pencil.",,,,,
bc0681bc-9522-30a0-ba66-6ac024584ea3,,,,,"SEEDS is a leading humanitarian organization recently awarded with the most prestigious annual Subhash Chandra Bose Aapda Prabandhan Puraskar 2021 by the Government of India for its invaluable contribution and selfless service rendered in the field of Disaster Management. It is currently working towards the continuing challenge of Covid-19. Sharing the increased burden on our health care system, SEEDS is supporting through:",,,,,
1790cdb1-7499-355a-b219-a67e45f71ed1,,,,,"The Akshaya Patra Foundation is an NGO in India headquartered in Bengaluru. Our organization strives to eliminate classroom hunger by implementing the Mid-Day Meal Scheme in the government schools and government-aided schools. Alongside, Akshaya Patra also aims at countering malnutrition and supporting the right to education of socio-economically disadvantaged children. Since 2000, Akshaya Patra has been concerting all its efforts towards providing fresh and nutritious meals to children on every single school day. We are continuously leveraging technology to multiply our reach. The state-of-the-art kitchens have become a subject of study and have attracted curious visitors from around the world. Partnership with the Government of India and various State Governments, along with the persistent support from corporates, individual donors, and well-wishers have helped them to grow from serving just 1,500 children in 5 schools in 2000 to serving 1.8 million children. Today, Akshaya Patra is the world’s largest (not-for-profit run) Mid-Day Meal Programme serving wholesome food every school day to over 1.8 million children from 19,039 schools across 12 states & 2 Union territories of India.",,,,,
96974ee2-9b23-3f88-98c3-3501ccc081b9,,,,,Paytm’s not-for-profit entity Paytm Foundation is raising INR 10 Cr to donate oxygen concentrators across India amidst the worsening Covid-19 situation in the country. Paytm will match the contributions received through this initiative. ,,,,,
c5cb45f4-ee2a-3095-ab06-bda3e467d30a,,,,,Zomato's not-for-profit arm Feeding India has partnered with logistics firm Delhivery to source oxygen concentrators and related supplies to help hospitals and families in need. ,,,,,
